#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   110   0.302170E+04  -0.296937E+02   0.317224E-03  -0.296937E+02   0.908027E+00  -0.102087E-05   0.317224E-03  -0.102087E-05   0.961517E-07
   111   0.305449E+04  -0.303320E+02   0.313558E-03  -0.303320E+02   0.920536E+00  -0.103832E-05   0.313558E-03  -0.103832E-05   0.955504E-07
   112   0.308760E+04  -0.309666E+02   0.310006E-03  -0.309666E+02   0.932746E+00  -0.105072E-05   0.310006E-03  -0.105072E-05   0.949531E-07
   113   0.312122E+04  -0.315991E+02   0.306567E-03  -0.315991E+02   0.944656E+00  -0.105793E-05   0.306567E-03  -0.105793E-05   0.943601E-07
   114   0.315513E+04  -0.322273E+02   0.303197E-03  -0.322273E+02   0.956258E+00  -0.106049E-05   0.303197E-03  -0.106049E-05   0.937712E-07
   115   0.318911E+04  -0.328487E+02   0.299871E-03  -0.328487E+02   0.967538E+00  -0.105955E-05   0.299871E-03  -0.105955E-05   0.931866E-07
   116   0.322308E+04  -0.334615E+02   0.296586E-03  -0.334615E+02   0.978477E+00  -0.105670E-05   0.296586E-03  -0.105670E-05   0.926061E-07
   117   0.325698E+04  -0.340647E+02   0.293341E-03  -0.340647E+02   0.989056E+00  -0.105364E-05   0.293341E-03  -0.105364E-05   0.920297E-07
   118   0.329089E+04  -0.346587E+02   0.290148E-03  -0.346587E+02   0.999262E+00  -0.105192E-05   0.290148E-03  -0.105192E-05   0.914575E-07
   119   0.332490E+04  -0.352437E+02   0.287031E-03  -0.352437E+02   0.100909E+01  -0.105265E-05   0.287031E-03  -0.105265E-05   0.908939E-07
   120   0.335959E+04  -0.358251E+02   0.284052E-03  -0.358251E+02   0.101855E+01  -0.105632E-05   0.284052E-03  -0.105632E-05   0.903295E-07
   121   0.339435E+04  -0.363966E+02   0.281118E-03  -0.363966E+02   0.102761E+01  -0.106257E-05   0.281118E-03  -0.106257E-05   0.897693E-07
   122   0.342900E+04  -0.369558E+02   0.278171E-03  -0.369558E+02   0.103627E+01  -0.107022E-05   0.278171E-03  -0.107022E-05   0.892115E-07
   123   0.346336E+04  -0.375008E+02   0.275195E-03  -0.375008E+02   0.104451E+01  -0.107790E-05   0.275195E-03  -0.107790E-05   0.886594E-07
   124   0.349757E+04  -0.380318E+02   0.272224E-03  -0.380318E+02   0.105231E+01  -0.108405E-05   0.272224E-03  -0.108405E-05   0.881115E-07
   125   0.353203E+04  -0.385519E+02   0.269329E-03  -0.385519E+02   0.105967E+01  -0.108755E-05   0.269329E-03  -0.108755E-05   0.875678E-07
   126   0.356685E+04  -0.390624E+02   0.266531E-03  -0.390624E+02   0.106660E+01  -0.108780E-05   0.266531E-03  -0.108780E-05   0.870283E-07
   127   0.360187E+04  -0.395615E+02   0.263814E-03  -0.395615E+02   0.107309E+01  -0.108487E-05   0.263814E-03  -0.108487E-05   0.864929E-07
   128   0.363689E+04  -0.400470E+02   0.261170E-03  -0.400470E+02   0.107913E+01  -0.107945E-05   0.261170E-03  -0.107945E-05   0.859617E-07
   129   0.367177E+04  -0.405172E+02   0.258596E-03  -0.405172E+02   0.108471E+01  -0.107280E-05   0.258596E-03  -0.107280E-05   0.854346E-07
   130   0.370648E+04  -0.409709E+02   0.256067E-03  -0.409709E+02   0.108982E+01  -0.106635E-05   0.256067E-03  -0.106635E-05   0.849117E-07
   131   0.374108E+04  -0.414081E+02   0.253569E-03  -0.414081E+02   0.109445E+01  -0.106146E-05   0.253569E-03  -0.106146E-05   0.843929E-07
   132   0.377577E+04  -0.418300E+02   0.251107E-03  -0.418300E+02   0.109860E+01  -0.105922E-05   0.251107E-03  -0.105922E-05   0.838782E-07
   133   0.381083E+04  -0.422392E+02   0.248715E-03  -0.422392E+02   0.110229E+01  -0.106025E-05   0.248715E-03  -0.106025E-05   0.833717E-07
   134   0.384591E+04  -0.426324E+02   0.246315E-03  -0.426324E+02   0.110550E+01  -0.106430E-05   0.246315E-03  -0.106430E-05   0.828647E-07
   135   0.388074E+04  -0.430069E+02   0.243868E-03  -0.430069E+02   0.110822E+01  -0.107062E-05   0.243868E-03  -0.107062E-05   0.823617E-07
   136   0.391517E+04  -0.433608E+02   0.241365E-03  -0.433608E+02   0.111044E+01  -0.107791E-05   0.241365E-03  -0.107791E-05   0.818628E-07
   137   0.394935E+04  -0.436944E+02   0.238861E-03  -0.436944E+02   0.111215E+01  -0.108474E-05   0.238861E-03  -0.108474E-05   0.813679E-07
   138   0.398362E+04  -0.440102E+02   0.236411E-03  -0.440102E+02   0.111337E+01  -0.108968E-05   0.236411E-03  -0.108968E-05   0.808753E-07
   139   0.401811E+04  -0.443096E+02   0.234056E-03  -0.443096E+02   0.111411E+01  -0.109178E-05   0.234056E-03  -0.109178E-05   0.803881E-07
   140   0.405266E+04  -0.445908E+02   0.231783E-03  -0.445908E+02   0.111436E+01  -0.109026E-05   0.231783E-03  -0.109026E-05   0.799049E-07
   141   0.408708E+04  -0.448519E+02   0.229589E-03  -0.448519E+02   0.111413E+01  -0.108493E-05   0.229589E-03  -0.108493E-05   0.794256E-07
   142   0.412128E+04  -0.450914E+02   0.227473E-03  -0.450914E+02   0.111341E+01  -0.107617E-05   0.227473E-03  -0.107617E-05   0.789501E-07
   143   0.415511E+04  -0.453083E+02   0.225410E-03  -0.453083E+02   0.111221E+01  -0.106498E-05   0.225410E-03  -0.106498E-05   0.784805E-07
   144   0.418882E+04  -0.455024E+02   0.223393E-03  -0.455024E+02   0.111049E+01  -0.105230E-05   0.223393E-03  -0.105230E-05   0.780104E-07
   145   0.422231E+04  -0.456750E+02   0.221414E-03  -0.456750E+02   0.110831E+01  -0.103998E-05   0.221414E-03  -0.103998E-05   0.775488E-07
   146   0.425614E+04  -0.458291E+02   0.219510E-03  -0.458291E+02   0.110564E+01  -0.102902E-05   0.219510E-03  -0.102902E-05   0.770871E-07
   147   0.428961E+04  -0.459595E+02   0.217605E-03  -0.459595E+02   0.110252E+01  -0.102044E-05   0.217605E-03  -0.102044E-05   0.766324E-07
   148   0.432343E+04  -0.460728E+02   0.215746E-03  -0.460728E+02   0.109898E+01  -0.101495E-05   0.215746E-03  -0.101495E-05   0.761849E-07
   149   0.435622E+04  -0.461536E+02   0.213757E-03  -0.461536E+02   0.109489E+01  -0.101140E-05   0.213757E-03  -0.101140E-05   0.757312E-07
   150   0.438873E+04  -0.462122E+02   0.211777E-03  -0.462122E+02   0.109042E+01  -0.101034E-05   0.211777E-03  -0.101034E-05   0.752904E-07
   151   0.442148E+04  -0.462483E+02   0.209840E-03  -0.462483E+02   0.108546E+01  -0.101009E-05   0.209840E-03  -0.101009E-05   0.748448E-07
   152   0.445360E+04  -0.462580E+02   0.207894E-03  -0.462580E+02   0.108010E+01  -0.101001E-05   0.207894E-03  -0.101001E-05   0.744107E-07
   153   0.448580E+04  -0.462456E+02   0.205962E-03  -0.462456E+02   0.107431E+01  -0.100866E-05   0.205962E-03  -0.100866E-05   0.739731E-07
   154   0.451797E+04  -0.462106E+02   0.204099E-03  -0.462106E+02   0.106815E+01  -0.100532E-05   0.204099E-03  -0.100532E-05   0.735456E-07
   155   0.454924E+04  -0.461445E+02   0.202199E-03  -0.461445E+02   0.106156E+01  -0.998848E-06   0.202199E-03  -0.998848E-06   0.731143E-07
   156   0.458065E+04  -0.460573E+02   0.200403E-03  -0.460573E+02   0.105463E+01  -0.989718E-06   0.200403E-03  -0.989718E-06   0.726932E-07
   157   0.461142E+04  -0.459397E+02   0.198594E-03  -0.459397E+02   0.104728E+01  -0.977404E-06   0.198594E-03  -0.977404E-06   0.722708E-07
   158   0.464199E+04  -0.457977E+02   0.196839E-03  -0.457977E+02   0.103960E+01  -0.962988E-06   0.196839E-03  -0.962988E-06   0.718572E-07
   159   0.467265E+04  -0.456314E+02   0.195141E-03  -0.456314E+02   0.103154E+01  -0.946875E-06   0.195141E-03  -0.946875E-06   0.714414E-07
   160   0.470295E+04  -0.454386E+02   0.193484E-03  -0.454386E+02   0.102317E+01  -0.930423E-06   0.193484E-03  -0.930423E-06   0.710345E-07
   161   0.473364E+04  -0.452259E+02   0.191890E-03  -0.452259E+02   0.101450E+01  -0.914528E-06   0.191890E-03  -0.914528E-06   0.706313E-07
   162   0.476327E+04  -0.449787E+02   0.190209E-03  -0.449787E+02   0.100545E+01  -0.899441E-06   0.190209E-03  -0.899441E-06   0.702256E-07
   163   0.479284E+04  -0.447088E+02   0.188560E-03  -0.447088E+02   0.996165E+00  -0.886373E-06   0.188560E-03  -0.886373E-06   0.698283E-07
   164   0.482238E+04  -0.444124E+02   0.186949E-03  -0.444124E+02   0.986551E+00  -0.875278E-06   0.186949E-03  -0.875278E-06   0.694302E-07
   165   0.485135E+04  -0.440878E+02   0.185322E-03  -0.440878E+02   0.976704E+00  -0.866219E-06   0.185322E-03  -0.866219E-06   0.690387E-07
   166   0.488044E+04  -0.437391E+02   0.183717E-03  -0.437391E+02   0.966605E+00  -0.858840E-06   0.183717E-03  -0.858840E-06   0.686457E-07
   167   0.490936E+04  -0.433652E+02   0.182148E-03  -0.433652E+02   0.956316E+00  -0.852655E-06   0.182148E-03  -0.852655E-06   0.682624E-07
