#    L    TT             EE             TE             PP             TP          
   210   0.571472E+04   0.698479E+00  -0.226302E+01   0.251206E+07   0.217477E+04
   211   0.572120E+04   0.707481E+00  -0.802069E+00   0.249965E+07   0.215728E+04
   212   0.572710E+04   0.717701E+00   0.675502E+00   0.248741E+07   0.213965E+04
   213   0.573240E+04   0.729171E+00   0.216970E+01   0.247521E+07   0.212236E+04
   214   0.573708E+04   0.741928E+00   0.367980E+01   0.246314E+07   0.210537E+04
   215   0.574108E+04   0.756007E+00   0.520536E+01   0.245107E+07   0.208831E+04
   216   0.574458E+04   0.771446E+00   0.674537E+01   0.243924E+07   0.207143E+04
   217   0.574737E+04   0.788277E+00   0.829969E+01   0.242757E+07   0.205446E+04
   218   0.574945E+04   0.806534E+00   0.986802E+01   0.241571E+07   0.203754E+04
   219   0.575097E+04   0.826254E+00   0.114492E+02   0.240420E+07   0.202125E+04
   220   0.575181E+04   0.847470E+00   0.130428E+02   0.239254E+07   0.200466E+04
   221   0.575226E+04   0.870216E+00   0.146479E+02   0.238118E+07   0.198838E+04
   222   0.575180E+04   0.894525E+00   0.162643E+02   0.236972E+07   0.197193E+04
   223   0.575099E+04   0.920431E+00   0.178910E+02   0.235851E+07   0.195626E+04
   224   0.574930E+04   0.947966E+00   0.195276E+02   0.234723E+07   0.194061E+04
   225   0.574711E+04   0.977161E+00   0.211735E+02   0.233618E+07   0.192498E+04
   226   0.574423E+04   0.100805E+01   0.228277E+02   0.232509E+07   0.190936E+04
   227   0.574079E+04   0.104066E+01   0.244900E+02   0.231418E+07   0.189407E+04
   228   0.573667E+04   0.107502E+01   0.261591E+02   0.230328E+07   0.187911E+04
   229   0.573204E+04   0.111117E+01   0.278350E+02   0.229251E+07   0.186434E+04
   230   0.572663E+04   0.114912E+01   0.295162E+02   0.228178E+07   0.184920E+04
   231   0.572071E+04   0.118892E+01   0.312029E+02   0.227116E+07   0.183424E+04
