#    L    TT             EE             BB             TE          
   253   0.542836E+04   0.263867E+01   0.356529E-01   0.677573E+02
   254   0.540868E+04   0.272709E+01   0.358286E-01   0.693427E+02
   255   0.538863E+04   0.281780E+01   0.360008E-01   0.709177E+02
   256   0.536799E+04   0.291071E+01   0.361694E-01   0.724777E+02
   257   0.534704E+04   0.300591E+01   0.363344E-01   0.740265E+02
   258   0.532542E+04   0.310332E+01   0.364957E-01   0.755580E+02
   259   0.530353E+04   0.320301E+01   0.366534E-01   0.770770E+02
   260   0.528098E+04   0.330491E+01   0.368072E-01   0.785776E+02
   261   0.525809E+04   0.340909E+01   0.369573E-01   0.800635E+02
   262   0.523468E+04   0.351548E+01   0.371035E-01   0.815305E+02
   263   0.521088E+04   0.362414E+01   0.372460E-01   0.829810E+02
   264   0.518659E+04   0.373499E+01   0.373846E-01   0.844114E+02
   265   0.516197E+04   0.384809E+01   0.375193E-01   0.858243E+02
   266   0.513679E+04   0.396337E+01   0.376502E-01   0.872150E+02
   267   0.511131E+04   0.408088E+01   0.377773E-01   0.885870E+02
   268   0.508540E+04   0.420061E+01   0.379007E-01   0.899380E+02
   269   0.505897E+04   0.432242E+01   0.380201E-01   0.912638E+02
   270   0.503233E+04   0.444650E+01   0.381357E-01   0.925709E+02
   271   0.500511E+04   0.457261E+01   0.382477E-01   0.938506E+02
   272   0.497777E+04   0.470095E+01   0.383560E-01   0.951110E+02
   273   0.494982E+04   0.483131E+01   0.384607E-01   0.963424E+02
   274   0.492170E+04   0.496384E+01   0.385620E-01   0.975525E+02
   275   0.489311E+04   0.509836E+01   0.386595E-01   0.987338E+02
   276   0.486427E+04   0.523502E+01   0.387537E-01   0.998918E+02
   277   0.483509E+04   0.537361E+01   0.388444E-01   0.101021E+03
   278   0.480570E+04   0.551429E+01   0.389317E-01   0.102126E+03
   279   0.477590E+04   0.565685E+01   0.390158E-01   0.103199E+03
   280   0.474597E+04   0.580144E+01   0.390967E-01   0.104249E+03
   281   0.471561E+04   0.594787E+01   0.391744E-01   0.105265E+03
   282   0.468509E+04   0.609626E+01   0.392493E-01   0.106255E+03
   283   0.465425E+04   0.624644E+01   0.393210E-01   0.107214E+03
   284   0.462321E+04   0.639851E+01   0.393900E-01   0.108143E+03
   285   0.459192E+04   0.655229E+01   0.394562E-01   0.109041E+03
   286   0.456047E+04   0.670790E+01   0.395197E-01   0.109909E+03
   287   0.452886E+04   0.686528E+01   0.395808E-01   0.110748E+03
   288   0.449683E+04   0.702416E+01   0.396392E-01   0.111548E+03
   289   0.446472E+04   0.718487E+01   0.396955E-01   0.112320E+03
   290   0.443234E+04   0.734699E+01   0.397492E-01   0.113055E+03
   291   0.439991E+04   0.751087E+01   0.398007E-01   0.113762E+03
   292   0.436715E+04   0.767605E+01   0.398503E-01   0.114429E+03
   293   0.433442E+04   0.784290E+01   0.398978E-01   0.115068E+03
   294   0.430133E+04   0.801100E+01   0.399436E-01   0.115666E+03
   295   0.426823E+04   0.818065E+01   0.399878E-01   0.116234E+03
   296   0.423488E+04   0.835147E+01   0.400301E-01   0.116762E+03
   297   0.420146E+04   0.852376E+01   0.400711E-01   0.117257E+03
   298   0.416790E+04   0.869710E+01   0.401105E-01   0.117715E+03
   299   0.413431E+04   0.887180E+01   0.401486E-01   0.118139E+03
   300   0.410054E+04   0.904747E+01   0.401857E-01   0.118523E+03
   301   0.406680E+04   0.922437E+01   0.402217E-01   0.118875E+03
   302   0.403285E+04   0.940217E+01   0.402567E-01   0.119185E+03
   303   0.399893E+04   0.958107E+01   0.402910E-01   0.119461E+03
   304   0.396491E+04   0.976077E+01   0.403243E-01   0.119698E+03
   305   0.393087E+04   0.994146E+01   0.403572E-01   0.119898E+03
   306   0.389695E+04   0.101230E+02   0.403894E-01   0.120066E+03
   307   0.386277E+04   0.103051E+02   0.404213E-01   0.120187E+03
   308   0.382880E+04   0.104881E+02   0.404532E-01   0.120278E+03
   309   0.379466E+04   0.106714E+02   0.404845E-01   0.120324E+03
   310   0.376063E+04   0.108556E+02   0.405160E-01   0.120337E+03
   311   0.372658E+04   0.110400E+02   0.405472E-01   0.120308E+03
   312   0.369264E+04   0.112252E+02   0.405786E-01   0.120246E+03
   313   0.365867E+04   0.114104E+02   0.406103E-01   0.120140E+03
   314   0.362490E+04   0.115963E+02   0.406422E-01   0.120003E+03
   315   0.359103E+04   0.117821E+02   0.406745E-01   0.119820E+03
   316   0.355738E+04   0.119684E+02   0.407074E-01   0.119605E+03
   317   0.352371E+04   0.121545E+02   0.407407E-01   0.119347E+03
   318   0.349019E+04   0.123410E+02   0.407747E-01   0.119055E+03
   319   0.345676E+04   0.125272E+02   0.408094E-01   0.118722E+03
   320   0.342350E+04   0.127136E+02   0.408448E-01   0.118354E+03
   321   0.339031E+04   0.128995E+02   0.408812E-01   0.117945E+03
   322   0.335734E+04   0.130855E+02   0.409185E-01   0.117503E+03
   323   0.332442E+04   0.132710E+02   0.409568E-01   0.117018E+03
   324   0.329172E+04   0.134564E+02   0.409963E-01   0.116499E+03
   325   0.325917E+04   0.136414E+02   0.410368E-01   0.115944E+03
   326   0.322675E+04   0.138255E+02   0.410785E-01   0.115346E+03
   327   0.319463E+04   0.140095E+02   0.411214E-01   0.114720E+03
   328   0.316255E+04   0.141924E+02   0.411657E-01   0.114047E+03
   329   0.313081E+04   0.143751E+02   0.412115E-01   0.113347E+03
   330   0.309914E+04   0.145565E+02   0.412585E-01   0.112603E+03
   331   0.306776E+04   0.147376E+02   0.413073E-01   0.111827E+03
   332   0.303656E+04   0.149173E+02   0.413573E-01   0.111012E+03
   333   0.300566E+04   0.150965E+02   0.414089E-01   0.110167E+03
   334   0.297493E+04   0.152741E+02   0.414622E-01   0.109281E+03
   335   0.294456E+04   0.154511E+02   0.415170E-01   0.108368E+03
   336   0.291433E+04   0.156264E+02   0.415736E-01   0.107413E+03
   337   0.288444E+04   0.158009E+02   0.416319E-01   0.106429E+03
   338   0.285476E+04   0.159736E+02   0.416918E-01   0.105407E+03
   339   0.282538E+04   0.161454E+02   0.417536E-01   0.104355E+03
   340   0.279629E+04   0.163152E+02   0.418170E-01   0.103268E+03
   341   0.276752E+04   0.164839E+02   0.418822E-01   0.102152E+03
   342   0.273901E+04   0.166506E+02   0.419493E-01   0.101001E+03
   343   0.271087E+04   0.168160E+02   0.420181E-01   0.998221E+02
   344   0.268298E+04   0.169793E+02   0.420888E-01   0.986074E+02
   345   0.265544E+04   0.171411E+02   0.421613E-01   0.973658E+02
   346   0.262824E+04   0.173012E+02   0.422356E-01   0.960946E+02
   347   0.260132E+04   0.174586E+02   0.423117E-01   0.947891E+02
   348   0.257484E+04   0.176147E+02   0.423895E-01   0.934625E+02
   349   0.254860E+04   0.177680E+02   0.424692E-01   0.920984E+02
   350   0.252280E+04   0.179198E+02   0.425507E-01   0.907147E+02
   351   0.249727E+04   0.180687E+02   0.426339E-01   0.892959E+02
   352   0.247214E+04   0.182160E+02   0.427190E-01   0.878549E+02
   353   0.244737E+04   0.183603E+02   0.428057E-01   0.863845E+02
   354   0.242299E+04   0.185029E+02   0.428942E-01   0.848923E+02
   355   0.239896E+04   0.186423E+02   0.429844E-01   0.833711E+02
   356   0.237538E+04   0.187798E+02   0.430762E-01   0.818318E+02
   357   0.235211E+04   0.189141E+02   0.431697E-01   0.802614E+02
   358   0.232929E+04   0.190463E+02   0.432649E-01   0.786741E+02
   359   0.230682E+04   0.191752E+02   0.433616E-01   0.770588E+02
