#    L    TT             EE             BB             TE          
   241   0.563312E+04   0.171030E+01   0.133560E-01   0.480917E+02
   242   0.562025E+04   0.177217E+01   0.133976E-01   0.497827E+02
   243   0.560664E+04   0.183616E+01   0.134372E-01   0.514690E+02
   244   0.559261E+04   0.190230E+01   0.134744E-01   0.531524E+02
   245   0.557779E+04   0.197059E+01   0.135092E-01   0.548294E+02
   246   0.556255E+04   0.204106E+01   0.135416E-01   0.565018E+02
   247   0.554662E+04   0.211371E+01   0.135712E-01   0.581668E+02
   248   0.553020E+04   0.218858E+01   0.135981E-01   0.598254E+02
   249   0.551339E+04   0.226566E+01   0.136221E-01   0.614773E+02
   250   0.549573E+04   0.234494E+01   0.136432E-01   0.631178E+02
   251   0.547785E+04   0.242648E+01   0.136613E-01   0.647518E+02
   252   0.545916E+04   0.251024E+01   0.136763E-01   0.663729E+02
   253   0.544015E+04   0.259627E+01   0.136881E-01   0.679856E+02
   254   0.542049E+04   0.268453E+01   0.136965E-01   0.695848E+02
   255   0.540047E+04   0.277509E+01   0.137016E-01   0.711738E+02
   256   0.537984E+04   0.286787E+01   0.137034E-01   0.727479E+02
   257   0.535891E+04   0.296295E+01   0.137017E-01   0.743108E+02
   258   0.533730E+04   0.306027E+01   0.136966E-01   0.758568E+02
   259   0.531540E+04   0.315989E+01   0.136881E-01   0.773903E+02
   260   0.529286E+04   0.326175E+01   0.136761E-01   0.789055E+02
   261   0.526996E+04   0.336591E+01   0.136607E-01   0.804062E+02
   262   0.524653E+04   0.347229E+01   0.136416E-01   0.818880E+02
   263   0.522272E+04   0.358097E+01   0.136191E-01   0.833535E+02
   264   0.519841E+04   0.369186E+01   0.135931E-01   0.847990E+02
   265   0.517376E+04   0.380504E+01   0.135636E-01   0.862270E+02
   266   0.514855E+04   0.392041E+01   0.135307E-01   0.876330E+02
   267   0.512303E+04   0.403804E+01   0.134943E-01   0.890202E+02
   268   0.509707E+04   0.415791E+01   0.134547E-01   0.903866E+02
   269   0.507060E+04   0.427990E+01   0.134114E-01   0.917279E+02
   270   0.504391E+04   0.440416E+01   0.133648E-01   0.930505E+02
   271   0.501663E+04   0.453051E+01   0.133150E-01   0.943457E+02
   272   0.498923E+04   0.465909E+01   0.132620E-01   0.956217E+02
   273   0.496121E+04   0.478973E+01   0.132059E-01   0.968687E+02
   274   0.493302E+04   0.492258E+01   0.131469E-01   0.980944E+02
   275   0.490436E+04   0.505743E+01   0.130845E-01   0.992914E+02
   276   0.487544E+04   0.519446E+01   0.130194E-01   0.100465E+03
   277   0.484617E+04   0.533345E+01   0.129513E-01   0.101610E+03
   278   0.481670E+04   0.547456E+01   0.128803E-01   0.102730E+03
   279   0.478680E+04   0.561758E+01   0.128068E-01   0.103819E+03
   280   0.475678E+04   0.576266E+01   0.127306E-01   0.104884E+03
   281   0.472631E+04   0.590961E+01   0.126517E-01   0.105916E+03
   282   0.469568E+04   0.605855E+01   0.125707E-01   0.106922E+03
   283   0.466473E+04   0.620931E+01   0.124870E-01   0.107896E+03
   284   0.463357E+04   0.636201E+01   0.124013E-01   0.108841E+03
   285   0.460216E+04   0.651644E+01   0.123133E-01   0.109754E+03
   286   0.457058E+04   0.667273E+01   0.122233E-01   0.110637E+03
   287   0.453884E+04   0.683083E+01   0.121317E-01   0.111491E+03
   288   0.450667E+04   0.699046E+01   0.120379E-01   0.112306E+03
   289   0.447441E+04   0.715196E+01   0.119427E-01   0.113093E+03
   290   0.444188E+04   0.731489E+01   0.118456E-01   0.113843E+03
   291   0.440929E+04   0.747962E+01   0.117470E-01   0.114564E+03
   292   0.437637E+04   0.764569E+01   0.116472E-01   0.115245E+03
   293   0.434348E+04   0.781346E+01   0.115460E-01   0.115898E+03
   294   0.431022E+04   0.798252E+01   0.114438E-01   0.116511E+03
   295   0.427694E+04   0.815316E+01   0.113407E-01   0.117092E+03
   296   0.424342E+04   0.832501E+01   0.112364E-01   0.117634E+03
   297   0.420981E+04   0.849835E+01   0.111316E-01   0.118143E+03
   298   0.417606E+04   0.867279E+01   0.110258E-01   0.118614E+03
   299   0.414228E+04   0.884862E+01   0.109196E-01   0.119051E+03
   300   0.410830E+04   0.902546E+01   0.108129E-01   0.119448E+03
   301   0.407436E+04   0.920356E+01   0.107060E-01   0.119813E+03
   302   0.404021E+04   0.938259E+01   0.105987E-01   0.120135E+03
   303   0.400607E+04   0.956277E+01   0.104915E-01   0.120424E+03
   304   0.397183E+04   0.974376E+01   0.103841E-01   0.120672E+03
   305   0.393757E+04   0.992580E+01   0.102769E-01   0.120884E+03
   306   0.390343E+04   0.101088E+02   0.101698E-01   0.121063E+03
   307   0.386903E+04   0.102922E+02   0.100631E-01   0.121195E+03
   308   0.383483E+04   0.104766E+02   0.995707E-02   0.121297E+03
   309   0.380045E+04   0.106614E+02   0.985122E-02   0.121353E+03
   310   0.376618E+04   0.108472E+02   0.974633E-02   0.121376E+03
   311   0.373188E+04   0.110331E+02   0.964182E-02   0.121357E+03
   312   0.369770E+04   0.112199E+02   0.953819E-02   0.121304E+03
   313   0.366348E+04   0.114067E+02   0.943553E-02   0.121207E+03
   314   0.362947E+04   0.115942E+02   0.933384E-02   0.121079E+03
   315   0.359534E+04   0.117817E+02   0.923326E-02   0.120904E+03
   316   0.356143E+04   0.119697E+02   0.913402E-02   0.120697E+03
   317   0.352750E+04   0.121576E+02   0.903578E-02   0.120447E+03
   318   0.349372E+04   0.123458E+02   0.893906E-02   0.120161E+03
   319   0.346003E+04   0.125338E+02   0.884358E-02   0.119835E+03
   320   0.342649E+04   0.127220E+02   0.874960E-02   0.119474E+03
   321   0.339303E+04   0.129098E+02   0.865723E-02   0.119071E+03
   322   0.335979E+04   0.130977E+02   0.856648E-02   0.118634E+03
   323   0.332659E+04   0.132851E+02   0.847737E-02   0.118154E+03
   324   0.329361E+04   0.134723E+02   0.839013E-02   0.117640E+03
   325   0.326078E+04   0.136594E+02   0.830455E-02   0.117089E+03
   326   0.322807E+04   0.138455E+02   0.822077E-02   0.116495E+03
   327   0.319567E+04   0.140315E+02   0.813884E-02   0.115871E+03
   328   0.316330E+04   0.142164E+02   0.805892E-02   0.115202E+03
   329   0.313126E+04   0.144012E+02   0.798111E-02   0.114503E+03
   330   0.309931E+04   0.145847E+02   0.790511E-02   0.113761E+03
   331   0.306763E+04   0.147678E+02   0.783139E-02   0.112987E+03
   332   0.303614E+04   0.149496E+02   0.775952E-02   0.112173E+03
   333   0.300494E+04   0.151310E+02   0.768981E-02   0.111327E+03
   334   0.297392E+04   0.153108E+02   0.762226E-02   0.110441E+03
   335   0.294325E+04   0.154899E+02   0.755680E-02   0.109528E+03
   336   0.291271E+04   0.156674E+02   0.749355E-02   0.108571E+03
   337   0.288253E+04   0.158441E+02   0.743257E-02   0.107586E+03
   338   0.285255E+04   0.160191E+02   0.737362E-02   0.106561E+03
   339   0.282287E+04   0.161931E+02   0.731702E-02   0.105506E+03
   340   0.279348E+04   0.163652E+02   0.726248E-02   0.104416E+03
   341   0.276441E+04   0.165362E+02   0.721018E-02   0.103296E+03
   342   0.273560E+04   0.167052E+02   0.716013E-02   0.102140E+03
   343   0.270717E+04   0.168728E+02   0.711223E-02   0.100956E+03
   344   0.267898E+04   0.170384E+02   0.706654E-02   0.997361E+02
   345   0.265115E+04   0.172025E+02   0.702306E-02   0.984884E+02
   346   0.262365E+04   0.173649E+02   0.698166E-02   0.972104E+02
   347   0.259643E+04   0.175246E+02   0.694239E-02   0.958978E+02
   348   0.256966E+04   0.176830E+02   0.690516E-02   0.945633E+02
   349   0.254312E+04   0.178387E+02   0.687009E-02   0.931909E+02
   350   0.251703E+04   0.179928E+02   0.683713E-02   0.917982E+02
   351   0.249122E+04   0.181441E+02   0.680609E-02   0.903699E+02
   352   0.246580E+04   0.182937E+02   0.677718E-02   0.889188E+02
   353   0.244073E+04   0.184403E+02   0.675010E-02   0.874378E+02
   354   0.241608E+04   0.185851E+02   0.672499E-02   0.859345E+02
   355   0.239176E+04   0.187268E+02   0.670178E-02   0.844015E+02
   356   0.236790E+04   0.188666E+02   0.668038E-02   0.828499E+02
   357   0.234434E+04   0.190032E+02   0.666083E-02   0.812667E+02
   358   0.232125E+04   0.191377E+02   0.664303E-02   0.796660E+02
   359   0.229850E+04   0.192689E+02   0.662688E-02   0.780366E+02
   360   0.227617E+04   0.193979E+02   0.661244E-02   0.763884E+02
   361   0.225424E+04   0.195234E+02   0.659953E-02   0.747162E+02
   362   0.223274E+04   0.196466E+02   0.658820E-02   0.730262E+02
   363   0.221163E+04   0.197663E+02   0.657838E-02   0.713124E+02
   364   0.219098E+04   0.198835E+02   0.656999E-02   0.695833E+02
   365   0.217069E+04   0.199971E+02   0.656302E-02   0.678306E+02
   366   0.215087E+04   0.201081E+02   0.655737E-02   0.660629E+02
   367   0.213145E+04   0.202155E+02   0.655298E-02   0.642753E+02
   368   0.211246E+04   0.203200E+02   0.654982E-02   0.624723E+02
   369   0.209395E+04   0.204215E+02   0.654774E-02   0.606573E+02
   370   0.207580E+04   0.205188E+02   0.654681E-02   0.588196E+02
   371   0.205815E+04   0.206136E+02   0.654687E-02   0.569743E+02
   372   0.204089E+04   0.207041E+02   0.654790E-02   0.551088E+02
   373   0.202408E+04   0.207920E+02   0.654985E-02   0.532340E+02
   374   0.200772E+04   0.208756E+02   0.655258E-02   0.513446E+02
   375   0.199180E+04   0.209565E+02   0.655612E-02   0.494467E+02
   376   0.197632E+04   0.210330E+02   0.656036E-02   0.475352E+02
   377   0.196132E+04   0.211066E+02   0.656524E-02   0.456188E+02
   378   0.194671E+04   0.211759E+02   0.657073E-02   0.436875E+02
   379   0.193260E+04   0.212422E+02   0.657672E-02   0.417526E+02
   380   0.191890E+04   0.213040E+02   0.658318E-02   0.398061E+02
   381   0.190565E+04   0.213628E+02   0.659004E-02   0.378553E+02
   382   0.189286E+04   0.214171E+02   0.659719E-02   0.358971E+02
   383   0.188052E+04   0.214683E+02   0.660465E-02   0.339363E+02
   384   0.186862E+04   0.215150E+02   0.661229E-02   0.319686E+02
   385   0.185719E+04   0.215585E+02   0.662008E-02   0.300010E+02
   386   0.184617E+04   0.215974E+02   0.662798E-02   0.280266E+02
   387   0.183563E+04   0.216331E+02   0.663589E-02   0.260532E+02
   388   0.182552E+04   0.216642E+02   0.664381E-02   0.240764E+02
   389   0.181585E+04   0.216920E+02   0.665164E-02   0.221010E+02
   390   0.180664E+04   0.217153E+02   0.665932E-02   0.201252E+02
   391   0.179786E+04   0.217351E+02   0.666684E-02   0.181523E+02
   392   0.178954E+04   0.217511E+02   0.667409E-02   0.161833E+02
   393   0.178163E+04   0.217622E+02   0.668106E-02   0.142127E+02
